"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 17 11:17:46 GMT 2022","Sun Jul 17 11:17:54 GMT 2022","7450","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"passed","Sun Jul 17 11:17:28 GMT 2022","Sun Jul 17 11:17:37 GMT 2022","9088","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"skipped","Sun Jul 17 11:19:54 GMT 2022","Sun Jul 17 11:19:54 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_005 - Verify multi-tab display correctly if there is new field added to any tab","Display_005 - Verify multi-tab display correctly if there is new field added to any tab",""
"passed","Sun Jul 17 11:19:13 GMT 2022","Sun Jul 17 11:19:54 GMT 2022","40422","","MultiTab - Display","","MultiTab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"skipped","Sun Jul 17 11:19:54 GMT 2022","Sun Jul 17 11:19:54 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_004 - Verify multi-tab display correctly if there is multiple sections of multi-tab","Display_004 - Verify multi-tab display correctly if there is multiple sections of multi-tab",""
"passed","Sun Jul 17 11:18:52 GMT 2022","Sun Jul 17 11:19:13 GMT 2022","21479","","MultiTab - Display","","MultiTab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"passed","Sun Jul 17 11:17:58 GMT 2022","Sun Jul 17 11:18:52 GMT 2022","53734","","MultiTab - Display","","MultiTab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
"passed","Sun Jul 17 11:17:37 GMT 2022","Sun Jul 17 11:17:46 GMT 2022","8755","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"passed","Sun Jul 17 11:17:54 GMT 2022","Sun Jul 17 11:17:58 GMT 2022","4492","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"skipped","Sun Jul 17 11:19:54 GMT 2022","Sun Jul 17 11:19:54 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
"skipped","Sun Jul 17 11:19:54 GMT 2022","Sun Jul 17 11:19:54 GMT 2022","179","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
