"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 17 06:35:40 GMT 2022","Sun Jul 17 06:36:02 GMT 2022","22002","","MultiTab - Display","","MultiTab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"passed","Sun Jul 17 06:34:33 GMT 2022","Sun Jul 17 06:34:41 GMT 2022","8379","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"skipped","Sun Jul 17 06:36:45 GMT 2022","Sun Jul 17 06:36:45 GMT 2022","181","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"skipped","Sun Jul 17 06:36:45 GMT 2022","Sun Jul 17 06:36:45 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
"passed","Sun Jul 17 06:34:46 GMT 2022","Sun Jul 17 06:35:40 GMT 2022","54277","","MultiTab - Display","","MultiTab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
"skipped","Sun Jul 17 06:36:45 GMT 2022","Sun Jul 17 06:36:45 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_004 - Verify multi-tab display correctly if there is multiple sections of multi-tab","Display_004 - Verify multi-tab display correctly if there is multiple sections of multi-tab",""
"passed","Sun Jul 17 06:34:11 GMT 2022","Sun Jul 17 06:34:22 GMT 2022","10520","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"skipped","Sun Jul 17 06:36:45 GMT 2022","Sun Jul 17 06:36:45 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_005 - Verify multi-tab display correctly if there is new field added to any tab","Display_005 - Verify multi-tab display correctly if there is new field added to any tab",""
"passed","Sun Jul 17 06:34:22 GMT 2022","Sun Jul 17 06:34:33 GMT 2022","10728","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"passed","Sun Jul 17 06:36:02 GMT 2022","Sun Jul 17 06:36:45 GMT 2022","42520","","MultiTab - Display","","MultiTab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"passed","Sun Jul 17 06:34:41 GMT 2022","Sun Jul 17 06:34:46 GMT 2022","4904","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
